Prime Production (km2)
29.1
47.0
88.8
102.8
85.0
66.2
4.3
43.0
84.7
12.9
49.1
59.8
85.6
87.6
77.3
89.7
112.2
50.8
108.5
42.9
51.4
24.9
32.3
60.8
58.7
23.6
118.4
93.7
84.4
45.6
52.4
40.6
61.7
63.8
0.0
0.0
12.8
54.1
101.7
125.8
0.0
7.4
71.8
89.1
57.0
8.2
69.5
103.7
83.7
30.6
15.2
16.8
0.0
0.0
0.0
54.0
108.0
94.9
79.8
58.9
9.1
12.7
24.2
51.0
100.4
31.7
69.2
67.9
5.2
0.0
24.4
0.0
11.2
0.0
0.0
0.0
14.2
65.4
60.3
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
65.1
41.9
5.2
114.6
99.2
101.4
82.6
79.3
78.7
95.5
110.8
19.1
14.5
38.0
31.6
0.0
0.0
21.2
0.0
0.0
31.6
24.8
46.8
37.1
21.0
37.2
55.3
47.0
90.4
75.8
62.8
27.5
68.3
0.0
0.0
0.0
0.0
10.8
0.0
8.0
0.0
14.2
1.7
40.9
13.9
7.4
4.9
2.0
10.0
5.5
18.0
3.1
53.2
69.5
72.4
22.4
17.6
51.7
44.8
55.9
41.4
29.3
1.6
0.0
13.6
43.5
69.2
54.8
49.2
56.5
55.6
26.7
6.3
25.0
19.8
26.6
63.0
58.2
30.7
11.6
58.2
69.7
49.3
26.1
55.3
38.0
56.9
73.0
32.9
0.0
0.0
0.0
26.3
44.7
12.2
6.7
8.1
30.9
37.4
0.0
16.6
3.8
28.8
4.1
8.3
24.9
5.9
0.0
0.0
0.0
14.5
21.7
5.4
37.9
55.3
17.2
0.0
0.0
19.8
0.0
0.0
0.0
39.8
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
11.3
57.8
33.2
64.0
